,Date,Open,High,Low,Close,Adj Close,Volume,lof,dbscan,isof
2483,2022-03-28,9860.0,9998.0,9840.0,9894.0,9894.0,1488881,-1,0,-1
2486,2022-03-31,10174.0,10262.0,10132.0,10132.0,10132.0,2293648,-1,0,-1
2487,2022-04-01,10134.0,10136.0,9947.0,10076.0,10076.0,1726028,-1,0,-1
2492,2022-04-08,10734.0,11000.0,10713.23828125,10930.0,10930.0,2542196,-1,0,-1
2493,2022-04-11,10888.0,10950.0,10746.0,10858.0,10858.0,2561255,-1,0,-1
2495,2022-04-13,10608.0,10640.419921875,10464.099609375,10510.0,10510.0,2102995,-1,0,-1
2496,2022-04-14,10432.0,10574.0,10392.0,10536.0,10536.0,1980089,-1,0,-1
2500,2022-04-22,10282.0,10408.349609375,10260.0,10280.0,10280.0,2235621,-1,0,-1
2504,2022-04-28,10550.0,10660.0,10512.0,10562.0,10562.0,2289793,-1,0,-1
2506,2022-05-03,10498.0,10710.0,10472.0,10684.0,10684.0,2234172,-1,0,-1
2507,2022-05-04,10792.0,10792.0,10458.0,10506.0,10506.0,2213731,-1,0,-1
2508,2022-05-05,10532.0,10632.0,10478.0,10512.0,10512.0,2501672,-1,0,-1
2509,2022-05-06,10464.0,10474.0,10222.0,10322.0,10322.0,2591818,-1,0,-1
2515,2022-05-16,10178.0,10466.0,10136.0,10466.0,10466.0,2366936,-1,0,-1
2516,2022-05-17,10460.0,10532.0,10396.0,10488.0,10488.0,2102049,-1,0,-1
2518,2022-05-19,10182.0,10276.0,10088.0,10250.0,10250.0,2367764,-1,0,-1
2520,2022-05-23,10564.0,10634.0,10454.0,10600.0,10600.0,2274183,-1,0,-1
2521,2022-05-24,10470.0,10666.0,10470.0,10598.0,10598.0,1817364,-1,0,-1
2524,2022-05-27,10552.0,10612.0,10454.0,10580.0,10580.0,1192233,-1,0,-1
